cellnumber,    x-coordinate,    y-coordinate,    z-coordinate,absolute-pressure,      x-velocity,      y-velocity,      z-velocity
    142503,-2.166605182E-02,-8.454176784E-02,-2.925919183E-02, 5.307447656E+04, 9.353883862E-01, 1.024326205E+00, 2.608942032E+00
    142504,-6.341564655E-02,-1.045741886E-01, 2.946767583E-02,-5.009200000E+04,-1.224063516E+00, 6.635440141E-02,-9.342265129E-01
    142505,-6.235625222E-02,-1.045048237E-01, 2.983771078E-02,-4.763646875E+04,-1.083110690E+00, 9.936369210E-02,-8.478647470E-01
    142506,-1.755696721E-02,-8.061718941E-02, 5.471766740E-02,-5.128682813E+04, 1.350713611E+00, 1.737304330E+00, 4.201870441E+00
    142507,-4.440092668E-02,-1.199194416E-01, 4.972669855E-02,-4.213104688E+04,-3.086160421E-01,-2.192680389E-01,-8.437161446E-01
    142508,-1.237085015E-01,-9.941738844E-02, 4.038218409E-02,-4.616148438E+04, 3.992998898E-01,-6.999822259E-01,-5.046818256E-01
    142509,-1.444298774E-01,-2.667588368E-02, 6.429210305E-02,-3.572762500E+04,-2.349768877E-01,-9.933452606E-01, 7.066696286E-01
    142510,-1.823887974E-02, 1.932487078E-02, 2.435924485E-02,-4.491239063E+04,-1.429787636E+00, 1.183776379E+00, 4.418472290E+00
    142511, 1.222340390E-02,-5.413425714E-02, 2.864757553E-02,-4.590025000E+04, 2.429843396E-01, 1.837700367E+00, 4.442886829E+00
    142512,-6.799893081E-02,-1.233265996E-01, 6.619957834E-02,-1.409728125E+04, 2.279057980E+00,-1.298688799E-01, 2.735041857E+00
    142513,-2.089983784E-02, 2.116288058E-02, 3.109726496E-02,-4.588506250E+04,-1.601082563E+00, 1.096601605E+00, 4.592778683E+00
    142514,-2.212340944E-02,-8.469660580E-02, 3.010767046E-03,-6.625203125E+04, 9.617761374E-01, 9.073078036E-01, 2.136381626E+00
    142515,-1.422843486E-01,-1.872276329E-02, 3.495417535E-02,-4.400421875E+04,-1.542004943E-01,-4.596379399E-01,-1.089021266E-01
    142516,-1.242074277E-02,-1.580535062E-02, 7.912861183E-03,-4.721875000E+04, 4.370119572E-01,-4.004345536E-01,-3.555399776E-01
    142517,-3.490630537E-02, 2.885321528E-02, 6.506748497E-02,-1.180898438E+04,-1.452542663E+00, 7.430205345E-01, 3.620807171E+00
    142518,-1.386644244E-01,-7.789453864E-02, 6.610492617E-02,-1.283727344E+04, 9.248439074E-01,-2.020529509E+00, 3.079702377E+00
    142519,-4.981088266E-02,-1.213626340E-01, 3.915655985E-02,-4.229931250E+04,-1.453265101E-01,-1.226036549E-01,-4.524165988E-01
    142520,-8.539207280E-02,-1.018095464E-01,-4.044789076E-02, 8.195643750E+04, 7.994349003E-01,-2.625186741E-01, 1.457043052E+00
    142521,-8.709751815E-02,-1.012543887E-01,-4.214771837E-02, 8.842102344E+04, 4.911778271E-01, 9.189233929E-02, 1.017880321E+00
    142522,-6.655462086E-03,-3.380027041E-02,-1.781155355E-02,-5.191478125E+04,-4.650453329E-01, 1.677501798E+00, 2.810878277E+00
    142523,-6.577518303E-03,-3.427485377E-02,-1.809221134E-02,-5.272571875E+04,-4.478040636E-01, 1.707415462E+00, 2.933658600E+00
    142524,-8.622924238E-02,-1.015466750E-01,-4.084652662E-02, 8.416428125E+04, 7.108720541E-01, 3.082525916E-02, 1.326240897E+00
    142525,-6.671722978E-03,-3.370589018E-02,-1.732456312E-02,-5.164898438E+04,-4.478846490E-01, 1.710667372E+00, 2.852840662E+00
    142526,-7.977590710E-02, 1.615949720E-02, 2.080619335E-02,-5.754771875E+04,-1.914243698E+00,-4.600813985E-01, 4.668054104E+00
    142527,-1.399136186E-01,-7.515084743E-02, 6.610506028E-02,-1.141940625E+04, 8.344356418E-01,-2.073498011E+00, 3.402611732E+00
